circulating_supply,ID,last_updated,max_supply,name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,symbol,total_supply,website_slug
445232246.0,2095,1527573566,,BOScoin,72369830.0,0.23,-3.52,-9.73,0.162544,122363.0,151,BOS,500000000.0,boscoin
8988194.0,1826,1527573560,,Particl,72113630.0,0.09,-12.65,-32.94,8.02315,2173530.0,152,PART,8988194.0,particl
721400241.0,2554,1527573276,,Lympo,71992642.0,-1.48,6.37,11.22,0.0997957,10178600.0,153,LYM,999999999.0,lympo
2966384100.0,2303,1527573570,10000000000.0,MediBloc,71690681.0,-2.26,2.87,-20.79,0.0241677,1004060.0,154,MED,4097545844.0,medibloc
44414075.0,99,1527573542,84000000.0,Vertcoin,71598154.0,-0.11,-7.35,-22.73,1.61206,825847.0,155,VTC,44414075.0,vertcoin
1104590.0,1659,1527573557,,Gnosis,70854146.0,0.05,-4.85,-27.08,64.1452,468326.0,156,GNO,10000000.0,gnosis-gno
137723302.0,2556,1527573276,,Credits,69033254.0,-1.6,-6.31,-30.03,0.501246,2583330.0,157,CS,249471071.0,credits
192016767.0,2309,1527573572,,SophiaTX,68516191.0,-0.1,-9.49,-28.79,0.356824,715574.0,158,SPHTX,350000000.0,sophiatx
68428768.0,2191,1527573568,,Paypex,68048304.0,-0.82,-15.48,-51.7,0.99444,6840.39,159,PAYX,150000000.0,paypex
1413716694.0,2277,1527573570,,SmartMesh,67319634.0,-0.91,0.54,-25.01,0.0476189,5178770.0,160,SMT,3141592653.0,smartmesh
6906847847.0,405,1527573545,8589869056.0,DigitalNote,66947731.0,0.67,-7.25,-22.21,0.00969295,1929370.0,161,XDN,6906847847.0,digitalnote
761143950.0,2276,1527573571,999449694.0,Ignis,65720670.0,-0.53,-8.02,-26.6,0.0863446,1355170.0,162,IGNIS,999449694.0,ignis
64355352.0,576,1527573545,84000000.0,GameCredits,65404344.0,0.11,-2.14,-20.6,1.0163,449779.0,163,GAME,64355352.0,gamecredits
359600000.0,1723,1527573559,,SONM,65391462.0,-0.43,-13.6,-36.12,0.181845,1519850.0,164,SNM,444000000.0,sonm
10614760961.0,1886,1527573562,,Dent,65306892.0,-0.71,-3.65,-30.83,0.00615246,1428300.0,165,DENT,100000000000.0,dent
62660371.0,1807,1527573561,,Santiment Network Token,65171172.0,1.41,-1.36,-16.22,1.04007,827317.0,166,SAN,83337000.0,santiment
70137379.0,258,1527573553,105000000.0,Groestlcoin,64704958.0,-1.47,-5.55,-23.19,0.922546,7177830.0,167,GRS,70137379.0,groestlcoin
204801192.0,2548,1527573276,,POA Network,64468548.0,-2.25,-9.26,-35.41,0.314786,1765980.0,168,POA,255293352.0,poa-network
1202053264.0,2298,1527573570,,Dynamic Trading Rights,63845136.0,-0.61,-4.3,-12.58,0.0531134,20918.7,169,DTR,3750000000.0,dynamic-trading-rights
178928358.0,2505,1527573275,,Bluzelle,63637123.0,-2.55,-8.52,-28.55,0.355657,3813320.0,170,BLZ,500000000.0,bluzelle
50168936.0,2161,1527573567,,Raiden Network Token,62364001.0,-0.38,-1.41,-25.72,1.24308,1410470.0,171,RDN,100000000.0,raiden-network-token
241346889.0,2291,1527573571,,Genaro Network,62147065.0,-1.93,-0.24,-28.09,0.257501,1408900.0,172,GNX,675000000.0,genaro-network
229258029.0,2313,1527573571,,SIRIN LABS Token,61634875.0,-0.85,-7.7,-26.85,0.268845,4141490.0,173,SRN,573145073.0,sirin-labs-token
4604993287.0,2507,1527573276,,THEKEY,61005109.0,-1.89,-7.67,-16.8,0.0132476,980510.0,174,TKY,9795844687.0,thekey
736749987.0,2274,1527573570,,MediShares,59594380.0,-1.17,-2.09,-14.18,0.0808882,3858930.0,175,MDS,2000000000.0,medishares
24212368.0,1788,1527573560,,Metal,59495600.0,-3.13,-12.52,-32.02,2.45724,7943890.0,176,MTL,66588888.0,metal
160000000.0,2498,1527573276,,Jibrel Network,59237920.0,-2.21,-4.98,-21.72,0.370237,875364.0,177,JNT,200000000.0,jibrel-network
463910527.0,2209,1527573569,1000000000.0,Ink,58686073.0,-0.01,-13.21,-31.69,0.126503,6767280.0,178,INK,1000000000.0,ink
103244553.0,2304,1527573570,,DEW,58183468.0,-2.27,-6.96,-26.03,0.56355,123017.0,179,DEW,200000000.0,dew
79006577.0,2447,1527573573,,Crypterium,57352296.0,0.5,-2.56,-14.13,0.725918,737983.0,180,CRPT,99983577.0,crypterium
2277026355.0,1937,1527573563,,Po.et,57030857.0,-0.67,-4.9,-30.16,0.0250462,2259900.0,181,POE,3141592653.0,poet
1932523758.0,2223,1527573569,,BLOCKv,56178852.0,-1.56,1.12,-19.8,0.0290702,389818.0,182,VEE,3646271241.0,blockv
15380103.0,2627,1527573279,25000000.0,TokenPay,55700887.0,-0.56,8.87,-21.53,3.62162,1216620.0,183,TPAY,19168617.0,tokenpay
41009731.0,588,1527573545,,Ubiq,55345503.0,0.15,-7.99,-31.16,1.34957,112416.0,184,UBQ,41009731.0,ubiq
27000000.0,2033,1527573565,27000000.0,BridgeCoin,55105650.0,2.46,-2.54,-13.0,2.04095,16237.7,185,BCO,27000000.0,bridgecoin
6274940000.0,2559,1527573277,,Cube,54301637.0,0.68,-2.97,-10.47,0.00865373,436495.0,186,AUTO,7200000000.0,cube
677154514.0,2143,1527573567,,Streamr DATAcoin,54152114.0,-0.46,-1.91,-9.55,0.0799701,884460.0,187,DATA,987154514.0,streamr-datacoin
7767544247.0,2541,1527573276,,Storiqa,53960275.0,0.04,15.76,41.59,0.00694689,3314850.0,188,STQ,11287544272.0,storiqa
15533001.0,1654,1527573558,21000000.0,Bitcore,53809111.0,-0.3,-5.92,-15.33,3.46418,351722.0,189,BTX,16987228.0,bitcore
62889552.0,377,1527573544,,NavCoin,53407631.0,-0.12,-6.46,-22.11,0.849229,6525530.0,190,NAV,62889552.0,nav-coin
416903461.0,2641,1527573280,,Apex,53296938.0,-1.19,-6.34,-31.13,0.12784,1756660.0,191,CPX,676989090.0,apex
23766414.0,42,1527573541,,Primecoin,52790196.0,-0.49,8.18,-4.72,2.22121,561094.0,192,XPM,23766414.0,primecoin
4626502186.0,2446,1527573276,11500000000.0,DATA,49698812.0,-2.35,-11.48,-35.91,0.0107422,11106900.0,193,DTA,11500000000.0,data
268253992.0,2467,1527573274,,OriginTrail,49338347.0,-0.05,-1.75,-24.48,0.183924,318695.0,194,TRAC,500000000.0,origintrail
39690806.0,2444,1527573574,,CRYPTO20,48348958.0,-1.0,-2.26,-19.24,1.21814,1168570.0,195,C20,40656082.0,c20
144590975.0,2081,1527573566,,Ambrosus,47941307.0,-1.75,-4.39,-27.64,0.331565,570097.0,196,AMB,361477438.0,amber
40000000.0,2211,1527573568,100000000.0,Bodhi,47806800.0,-1.2,-1.23,0.72,1.19517,5690570.0,197,BOT,100000000.0,bodhi
24780450.0,5,1527573541,,Peercoin,46956475.0,0.01,-7.86,-28.94,1.8949,520518.0,198,PPC,24780450.0,peercoin
461647448.0,2685,1527573280,1000000000.0,Zebi,46105008.0,-1.02,-7.68,-29.23,0.0998706,1312290.0,199,ZCO,500000000.0,zebi
895515027.0,2642,1527573278,,CyberVein,45929891.0,-0.31,-3.5,-27.94,0.0512888,10412100.0,200,CVT,2147483648.0,cybervein
11698970018.0,2592,1527573278,,Banca,45466409.0,-0.76,12.56,-9.09,0.00388636,2974080.0,201,BANCA,20000000000.0,banca
350000000.0,2453,1527573274,,EDUCare,44995300.0,0.76,-6.97,-19.2,0.128558,16370500.0,202,EKT,1000000000.0,educare
55000000.0,2570,1527573277,,TomoChain,44445610.0,-2.27,-9.74,-38.86,0.808102,378296.0,203,TOMO,100000000.0,tomochain
4059750.0,1447,1527573553,21000000.0,ZClassic,43741776.0,-0.52,-6.5,-24.09,10.7745,440297.0,204,ZCL,4059750.0,zclassic
3726781.0,2181,1527573268,,Genesis Vision,43387556.0,0.26,-7.69,-32.81,11.6421,4026480.0,205,GVT,4436644.0,genesis-vision
49421726.0,2251,1527573269,,IoT Chain,43184507.0,-2.08,-1.88,-24.9,0.873796,3570290.0,206,ITC,100000000.0,iot-chain
571556457.0,2540,1527573277,840000000.0,Litecoin Cash,42980017.0,-2.51,-8.43,-35.43,0.0751982,140721.0,207,LCC,571556457.0,litecoin-cash
87587036.0,1596,1527573556,,Edgeless,42902320.0,-0.41,-1.84,-12.85,0.489825,817626.0,208,EDG,132046997.0,edgeless
519094022.0,2539,1527573276,,Republic Protocol,42859102.0,0.66,-7.65,-25.41,0.0825652,1025700.0,209,REN,1000000000.0,republic-protocol
259348201.0,1834,1527573261,,Pillar,42815535.0,-1.26,-7.43,-27.82,0.165089,77652.1,210,PLR,800000000.0,pillar
29995272363.0,2394,1527573273,,Telcoin,42536296.0,-0.18,1.49,-25.59,0.0014181,278703.0,211,TEL,100000000000.0,telcoin
322762988.0,2296,1527573270,,OST,42342954.0,-0.69,-6.59,-27.03,0.131189,876741.0,212,OST,800000000.0,ost
1943109119.0,573,1527573547,2158812800.0,Burst,42212491.0,0.56,-5.48,-13.7,0.0217242,351183.0,213,BURST,1943109119.0,burst
805986636.0,2112,1527573267,,Red Pulse,41980459.0,-1.89,-7.2,-34.19,0.0520858,1271200.0,214,RPX,1358371250.0,red-pulse
73430701.0,1768,1527573559,100000000.0,AdEx,41577050.0,-1.55,-6.47,-25.13,0.566208,3150990.0,215,ADX,100000000.0,adx-net
1086422877.0,2239,1527573269,,ETHLend,41555458.0,-2.68,-7.39,-30.09,0.0382498,633597.0,216,LEND,1299999942.0,ethlend
52000000.0,1712,1527573258,105000000.0,Quantum Resistant Ledger,41282956.0,-0.54,-1.51,-17.21,0.793903,190366.0,217,QRL,65000000.0,quantum-resistant-ledger
702000000.0,2430,1527573273,,Hydro Protocol,40583884.0,0.42,-8.25,-7.63,0.0578118,224186.0,218,HOT,1560000000.0,hydro-protocol
25253573483.0,1711,1527573558,30000000000.0,Electra,40401930.0,-1.37,0.15,-14.31,0.00159985,355387.0,219,ECA,26120730036.0,electra
370200000.0,2696,1527573280,,DAEX,39874612.0,0.23,-4.48,-25.31,0.107711,1212610.0,220,DAX,2000000000.0,daex
1010531.0,1159,1527573550,,SaluS,39734394.0,-3.71,3.94,-13.3,39.3203,1040650.0,221,SLS,1010531.0,salus
315938396.0,2550,1527573276,,Rock,39661642.0,-0.91,-4.94,-25.86,0.125536,267234.0,222,RKT,900000000.0,rock
87862718.0,2306,1527573270,,Bread,39479091.0,0.8,-2.71,-24.11,0.449327,4090290.0,223,BRD,88862718.0,bread
38624457.0,2563,1527573277,,TrueUSD,39369136.0,0.61,0.71,-3.3,1.01928,9994830.0,224,TUSD,38624457.0,trueusd
77966926.0,2202,1527573269,,Oyster,39242157.0,-4.44,-10.67,-22.72,0.503318,571027.0,225,PRL,98592692.0,oyster
127623091.0,2175,1527573268,,DecentBet,39024206.0,0.66,4.81,-16.83,0.305777,442010.0,226,DBET,185276014.0,decent-bet
491280791.0,2096,1527573267,,Ripio Credit Network,38551197.0,-0.96,-6.11,-27.11,0.0784708,2904320.0,227,RCN,999942647.0,ripio-credit-network
29261461.0,2057,1527573266,,Eidoo,38504572.0,-0.67,-5.57,-24.21,1.31588,4548220.0,228,EDO,90208328.0,eidoo
217016253.0,201,1527573543,,Einsteinium,38132143.0,-0.52,-7.17,-23.13,0.175711,628216.0,229,EMC2,217016253.0,einsteinium
37881457.0,2308,1527573271,,Dai,38074653.0,-0.06,1.12,0.64,1.0051,1895230.0,230,DAI,37881457.0,dai
1012146906.0,723,1527573546,,BitBay,37788910.0,1.47,-7.74,-27.0,0.0373354,362766.0,231,BAY,1012146906.0,bitbay
20998432317.0,2572,1527573277,,BABB,37467293.0,-0.63,-3.54,-25.01,0.00178429,312067.0,232,BAX,50000000000.0,babb
150000000.0,2058,1527573266,,AirSwap,36518250.0,-0.67,-6.11,-35.65,0.243455,1794230.0,233,AST,500000000.0,airswap
230116791628.0,1367,1527573552,,Experience Points,36281594.0,-3.75,3.64,-42.87,0.000157666,138269.0,234,XP,264930251901.0,experience-points
5141701.0,362,1527573555,,CloakCoin,36056896.0,-1.07,-9.52,-36.95,7.01264,645648.0,235,CLOAK,5141701.0,cloakcoin
150000000.0,2399,1527573273,,Internet Node Token,35648100.0,1.51,10.2,-13.02,0.237654,7800880.0,236,INT,1000000000.0,internet-node-token
300043386.0,2219,1527573268,,SpankChain,35003361.0,-0.65,-7.19,-23.78,0.116661,24347.6,237,SPANK,1000000000.0,spankchain
1131405193.0,2577,1527573277,21000000000.0,Ravencoin,34936774.0,-3.61,-6.97,-20.73,0.0308791,302036.0,238,RVN,1131405193.0,ravencoin
600000000.0,1409,1527573552,,SingularDTV,34771740.0,-1.67,-6.01,-29.05,0.0579529,440227.0,239,SNGLS,1000000000.0,singulardtv
208851000.0,624,1527573545,,bitCNY,34655273.0,-1.42,-0.03,3.76,0.165933,13284600.0,240,BITCNY,208851000.0,bitcny
19361889557.0,2595,1527573278,,NANJCOIN,34432023.0,3.71,-5.28,-36.05,0.00177834,355833.0,241,NANJ,30000000000.0,nanjcoin
89708333.0,1500,1527573555,,Wings,33852337.0,-0.03,3.68,-21.06,0.37736,5510560.0,242,WINGS,100000000.0,wings
65877343747.0,2315,1527573270,,HTMLCOIN,33589606.0,-0.34,2.63,-10.94,0.000509881,782770.0,243,HTML,94044586504.0,html-coin
600000000.0,1856,1527573261,,district0x,33452520.0,-1.37,-10.44,-31.82,0.0557542,1366960.0,244,DNT,1000000000.0,district0x
23040773.0,470,1527573544,23176392.0,Viacoin,33175488.0,-0.44,-5.32,-23.89,1.43986,833555.0,245,VIA,23040773.0,viacoin
1543157590.0,1172,1527573550,2147483647.0,Safe Exchange Coin,32737162.0,-0.16,-2.13,5.88,0.0212144,18842.5,246,SAFEX,2147483647.0,safe-exchange-coin
21324493.0,1281,1527573551,,ION,32679999.0,0.72,0.99,-18.63,1.53251,271022.0,247,ION,27224493.0,ion
398253100.0,254,1527573544,,Gulden,32495063.0,-0.48,-4.94,-12.72,0.081594,109948.0,248,NLG,469753100.0,gulden
82500000.0,2036,1527573265,165000000.0,PayPie,32193233.0,-0.95,-20.6,-36.67,0.390221,445248.0,249,PPP,165000000.0,paypie
183000000.0,1779,1527573259,200000000.0,Wagerr,31985838.0,0.71,-2.51,-1.63,0.174786,17859.8,250,WGR,198360471.0,wagerr
390222225.0,2510,1527573275,,Datawallet,31419796.0,0.82,-10.13,-16.82,0.0805177,1198600.0,251,DXT,1000000000.0,datawallet
1074533090.0,1595,1527573555,5000000000.0,Soarcoin,31286428.0,0.56,-2.61,-13.38,0.0291163,37561.2,252,SOAR,5000000000.0,soarcoin
841750000.0,2612,1527573278,,BitRent,31220087.0,-2.34,-0.74,-27.83,0.0370895,173091.0,253,RNTB,942000000.0,bitrent
248982809.0,268,1527573544,,WhiteCoin,31134553.0,-0.44,-6.01,-8.37,0.125047,298881.0,254,XWC,248982809.0,whitecoin
30300918.0,2369,1527573272,,INS Ecosystem,31113286.0,-1.35,-4.99,-17.84,1.02681,1691160.0,255,INS,50000000.0,ins-ecosystem
11135728.0,2087,1527573266,,KuCoin Shares,30770466.0,-1.59,-6.84,-27.25,2.76322,405456.0,256,KCS,180730576.0,kucoin-shares
3838912.0,2139,1527573267,19000000.0,MinexCoin,30641274.0,-0.53,-2.61,-22.59,7.98176,80839.0,257,MNX,5864048.0,minexcoin
65728016.0,2633,1527573278,,Stakenet,30275968.0,-0.26,-3.0,10.85,0.460625,260289.0,258,XSN,77241153.0,stakenet
445300622.0,2511,1527573275,,WePower,30185103.0,-1.4,-7.59,-31.56,0.0677859,2172660.0,259,WPR,745248183.0,wepower
57672338.0,2305,1527573271,,NAGA,30065282.0,-0.51,-10.46,-11.35,0.521312,1909310.0,260,NGC,77910266.0,naga
305066139.0,2320,1527573271,,UTRUST,30001028.0,-0.69,-8.98,-24.52,0.0983427,658704.0,261,UTK,500000000.0,utrust
173849293.0,870,1527573547,350000000.0,Pura,29970401.0,3.25,3.53,-19.13,0.172393,243838.0,262,PURA,180631787.0,pura
1391302551.0,2567,1527573277,,DATx,29503405.0,-1.97,-7.42,-35.67,0.0212056,1840840.0,263,DATX,10000000000.0,datx
500000000.0,2481,1527573275,,Zeepin,29298300.0,-1.68,-0.11,-20.04,0.0585966,797809.0,264,ZPT,1000000000.0,zeepin
35723239.0,1703,1527573559,100000000.0,Metaverse ETP,29234898.0,1.03,-5.9,-7.31,0.818372,4087580.0,265,ETP,55123239.0,metaverse
333333333.0,2443,1527573275,,Trinity Network Credit,29140067.0,-2.4,-7.93,-39.45,0.0874202,1069700.0,266,TNC,1000000000.0,trinity-network-credit
