circulating_supply,ID,last_updated,max_supply,name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,symbol,total_supply,website_slug,website,github
,2596,1528373984,,CK USD,,-0.04,0.21,0.53,0.979009,97591300,1361,CKUSD,,ckusd,,
,1910,1528373966,,ATMCoin,,0.16,0.06,2.97,3.86412,33670900,1362,ATMC,10000000000,atmcoin,https://www.atmcoin.com/website/inicio,
,2840,1528373989,,QuarkChain,,-0.44,-10.48,,0.186893,27837900,1363,QKC,10000000000,quarkchain,https://quarkchain.io/,https://github.com/QuarkChain
,2456,1528373981,,OFCOIN,,-0.61,16.72,18.17,0.00130152,24143100,1364,OF,51200000000,ofcoin,http://www.ofbank.com/,https://github.com/ofproject/
,2826,1528373989,,ZIP,,17.52,53.23,49.19,0.00352199,23756000,1365,ZIP,1.00E+11,zip,http://zipper.io/,
,2599,1528373985,,Noah Coin,,-2.57,-15.07,20.43,0.00917385,12874200,1366,NOAH,91584000000,noah-coin,https://noahcoin.org/,
,2691,1528373986,1.00E+11,Penta,,0.04,1.15,13.01,0.022632,11966600,1367,PNT,50000000000,penta,https://www.penta.global/,https://github.com/pentaglobal
,2767,1528373988,,APIS,,-1.05,-4.06,6.56,0.0108433,11238600,1368,APIS,9520000000,apis,https://apisplatform.io/,https://github.com/Oxchild/crowdsale
,2661,1528373985,,Tripio,,0.15,3.23,-3.87,0.0180226,10889800,1369,TRIO,5000000000,tripio,https://trip.io/,https://github.com/thetripio
,2760,1528373988,,Libra Credit,,-0.28,3.59,-3.74,0.219883,10220400,1370,LBA,1000000000,libra-credit,https://www.libracredit.io/,https://github.com/libracredit
,2701,1528373987,,TrustNote,,-0.06,-3.66,-19.01,0.0720611,9012300,1371,TTT,,trustnote,https://trustnote.org/,https://github.com/trustnote
,2725,1528373987,,Skrumble Network,,-1.33,-8.52,-1.18,0.063357,8305800,1372,SKM,1500000000,skrumble-network,https://skrumble.network/,
,2358,1528373977,,Content and AD Network,,-0.11,-1.72,-15.25,0.0173296,7479200,1373,CAN,1500000000,content-and-ad-network,http://mobipromo.io/cn/,
,2379,1528373977,,Kcash,,-0.12,0.07,-4.64,0.120395,6081540,1374,KCASH,1000000000,kcash,https://www.kcash.com/,
,2483,1528373982,,OceanChain,,-0.32,1.75,-5.35,0.00424993,5442620,1375,OC,,oceanchain,https://oceanchain.club/,
,2603,1528373984,,Pundi X,,-0.64,-4.95,-22.33,0.00855211,4628540,1376,NPXS,68179231883,pundi-x,https://pundix.com/,
,2838,1528373989,,PCHAIN,,-0.09,-9.09,,0.18212,4028220,1377,PAI,2100000000,pchain,https://pchain.org/,https://github.com/pchain-org
,2470,1528373980,,CoinMeet,,-1,1.95,-3.67,0.0529127,3558000,1378,MEET,400000000,coinmeet,https://coinmeet.io/,
,2734,1528373987,,EduCoin,,0.3,6.55,-5.51,0.00293327,3512480,1379,EDU,15000000000,edu-coin,http://www.edu.one,
,2738,1528373988,,Super Game Chain,,1.51,1.39,5.23,0.00238488,3489910,1380,SGCC,20000000000,super-game-chain,http://www.sgchain.io,https://github.com/JayNarv/sgc-gamebook
,2432,1528373980,,StarChain,,6.06,6.9,-4.61,0.07338,3369660,1381,STC,1000000000,starchain,http://www.starchain.one/,
,2438,1528373979,,Acute Angle Cloud,,0.24,1.3,4.33,0.112567,2667040,1382,AAC,1000000000,acute-angle-cloud,http://acuteangle.com/,
,2414,1528373978,,RealChain,,-0.56,-2.07,-5.11,0.0391015,2080380,1383,RCT,1000000000,realchain,http://rcfund.org/,
